Sample_ID,Village_Name,Latitude,Longitude,District,State,Land_Use_Type,Irrigation_Type,Sand_percent,Silt_percent,Clay_percent,Soil_Texture_Class,Soil_Temperature_C,pH,EC_dS_m,Organic_Carbon_percent,Available_N_kg_ha,Available_P_kg_ha,Available_K_kg_ha,Available_S_mg_kg,Fe_mg_kg,Mn_mg_kg,Zn_mg_kg,Cu_mg_kg,Heavy_Metal_Pb,Heavy_Metal_Cd,Heavy_Metal_Cr,Pesticide_Residue_Level,Industrial_Contamination_Flag,Groundwater_Depth_m,Fertilizer_Use_kg_per_ha,Cropping_Intensity_percent,Soil_Erosion_Risk,Soil_Health_Status,Soil_Pollution_Status,Sustainability_Index,Soil_Health_Card_Issued,Covered_Under_NMSA,PMKSY_Irrigation_Beneficiary,Digital_Soil_Record_Available
1,Pimpalgaon,19.64522,73.70279,Ahmednagar,Maharashtra,Fallow,Flood,21.8,25,53.2,Sandy,28.4,7.15,0.92,0.52,252,23,275,17.93,4.51,1.71,0.51,0.29,26.92,1.67,0.73,Safe,45.2,172,167,Low,Healthy,Safe,95,Yes,Yes,Yes,Yes,
2,Pimpalgaon,19.417153,73.843869,Ahmednagar,Maharashtra,Residential,Flood,52.1,23.7,24.2,Sandy,27.3,6.06,0.34,0.69,167,6,177,13.94,2.11,4.88,0.9,0.39,12.06,1,0.78,Safe,16.6,132,127,High,Poor,Safe,60,Yes,No,No,Yes,
3,Chichondi,19.569266,73.67379,Ahmednagar,Maharashtra,Agricultural,Flood,33.7,15.8,50.5,Loamy,34.3,5.68,0.3,0.33,208,14,171,15.18,2.14,2.94,1.08,1.13,18.86,0.38,0.81,Contaminated,25.4,127,213,Low,Moderate,Contaminated,59,Yes,Yes,Yes,Yes,
4,Rajur,19.623333,73.71388,Ahmednagar,Maharashtra,Residential,Drip,33.1,27.7,39.2,Clayey,33.7,7.04,0.61,0.47,138,16,251,11.54,1.54,1.4,0.95,0.18,46.81,1.59,0.22,Contaminated,18.6,277,121,Low,Poor,Contaminated,86,Yes,Yes,Yes,Yes,
5,Murshet,19.41796,73.750781,Ahmednagar,Maharashtra,Agricultural,Drip,32.4,11.8,55.8,Loamy,29.8,6.7,0.97,0.75,235,25,399,24.39,4.82,6.07,1.39,0.25,12.95,0.71,0.23,Safe,43.9,86,115,High,Moderate,Safe,75,No,No,Yes,No,
6,Pimpalgaon,19.533845,73.896662,Ahmednagar,Maharashtra,Industrial,Flood,31.1,39.4,29.5,Sandy,28.4,7.2,1.07,0.89,169,7,400,8,2.56,1.89,0.27,1.07,46.55,0.57,0.84,Safe,45.2,268,124,Low,Poor,Safe,85,No,No,Yes,No,
7,Akole,19.599906,73.847451,Ahmednagar,Maharashtra,Fallow,Flood,37.1,18,44.9,Loamy,25.2,6.28,0.38,0.76,153,10,219,19.02,3.35,4.69,1.1,1.03,16.69,0.21,0.11,Safe,7.4,82,146,Low,Poor,Safe,72,No,No,Yes,No,
8,Akole,19.527347,73.770824,Ahmednagar,Maharashtra,Agricultural,Rainfed,54.5,10.1,35.4,Loamy,24.5,5.73,0.65,0.98,201,22,335,6.47,4.96,4.53,1.04,0.15,16.65,1.51,0.31,Safe,7.7,216,145,Low,Moderate,Safe,92,Yes,Yes,No,Yes,
9,Pimpalgaon,19.528358,73.638139,Ahmednagar,Maharashtra,Industrial,Drip,57.3,25.1,17.6,Clayey,30.8,6.55,1,0.63,320,20,360,24.39,4.92,2.08,0.52,0.37,28.23,1.37,0.88,Safe,6.3,287,226,High,Healthy,Safe,61,No,No,No,Yes,
10,Murshet,19.462983,73.627962,Ahmednagar,Maharashtra,Residential,Rainfed,27.5,27.5,45,Clayey,27.9,7.71,0.4,0.79,344,9,111,23.11,1.83,4.87,0.76,0.61,24.73,1.12,0.98,Contaminated,8.4,207,149,Low,Moderate,Contaminated,78,Yes,No,No,Yes,
